question,user query
top sub category by sales across country and months,Identify the best-selling sub category throughout all countries and months.
top sub category by sales across country and months,"Across all countries and months, which sub category had the most sales?"
top sub category by sales across country and months,What was the top-selling sub category in every country and month?
top sub category by sales across country and months,"Throughout all countries and months, which sub category sold the most?"
top sub category by sales across country and months,Which sub category had the greatest sales across all countries and months?
top sub category by sales across country and months,"Across countries and months, what was the highest-grossing sub category?"
top sub category by sales across country and months,What sub category had the largest sales volume in all countries and months?
top sub category by sales across country and months,"In every country and month, which sub category had the top sales?"
top sub category by sales across country and months,"Throughout countries and months, what was the best-performing sub category in sales?"
Diagnose sales change in 2020,Identify the cause of sales fluctuations in 2020.
Diagnose sales change in 2020,What factors influenced the change in sales during 2020?
Diagnose sales change in 2020,Analyze the reasons for sales variations in 2020.
Diagnose sales change in 2020,Determine the factors affecting sales in 2020.
Diagnose sales change in 2020,Assess the changes in sales for the year 2020.
Diagnose sales change in 2020,Examine the 2020 sales shift and its causes.
Diagnose sales change in 2020,Investigate the factors behind sales alterations in 2020.
Diagnose sales change in 2020,Explore the reasons for sales transformation in 2020.
Diagnose sales change in 2020,Uncover the causes of sales modification in 2020.
Diagnose sales change in 2020,Evaluate the factors contributing to sales change in 2020.
Diagnose sales of phone change in 2020,Analyze the change in phone sales during 2020.
Diagnose sales of phone change in 2020,Assess the variation in phone sales in 2020.
Diagnose sales of phone change in 2020,Examine the shift in phone sales for 2020.
Diagnose sales of phone change in 2020,Determine the alteration in 2020 phone sales.
Diagnose sales of phone change in 2020,Identify the transformation in phone sales in the year 2020.
Diagnose sales of phone change in 2020,Investigate the modification in phone sales throughout 2020.
Diagnose sales of phone change in 2020,Evaluate the fluctuation in 2020's phone sales.
Diagnose sales of phone change in 2020,Study the adjustment in phone sales during the year 2020.
Diagnose sales of phone change in 2020,Explore the difference in phone sales in the 2020 period.
Diagnose sales of phone change in 2020,Review the changes in phone sales for the year 2020.
Diagnose sales of phone and paper change in 2020,Analyze the change in phone and paper sales during 2020.
Diagnose sales of phone and paper change in 2020,Assess the variation in phone and paper sales in 2020.
Diagnose sales of phone and paper change in 2020,Examine the shift in phone and paper sales for 2020.
Diagnose sales of phone and paper change in 2020,Determine the fluctuation in phone and paper sales in '20.
Diagnose sales of phone and paper change in 2020,Investigate the alteration in phone and paper sales during 2020.
Diagnose sales of phone and paper change in 2020,Study the transformation in phone and paper sales in 2020.
Diagnose sales of phone and paper change in 2020,Evaluate the modification in phone and paper sales for 2020.
Diagnose sales of phone and paper change in 2020,Explore the adjustment in phone and paper sales during '20.
Diagnose sales of phone and paper change in 2020,Identify the changes in phone and paper sales in 2020.
Diagnose sales of phone and paper change in 2020,Review the difference in phone and paper sales for 2020.
Why sales changed in 2020,What caused sales to shift in 2020?
Why sales changed in 2020,Reasons for sales alteration in 2020?
Why sales changed in 2020,What led to the change in 2020 sales?
Why sales changed in 2020,Factors behind 2020 sales transformation?
Why sales changed in 2020,Why did sales vary in 2020?
Why sales changed in 2020,What prompted sales fluctuations in 2020?
Why sales changed in 2020,Causes for sales modification in 2020?
Why sales changed in 2020,Why was there a change in sales during 2020?
Why sales changed in 2020,What influenced the sales difference in 2020?
Why sales changed in 2020,Reasons for the 2020 sales adjustment?
Why sales of phone changed in 2020,What caused phone sales to shift in 2020?
Why sales of phone changed in 2020,"In 2020, what factors impacted phone sales?"
Why sales of phone changed in 2020,How did phone sales alter in 2020?
Why sales of phone changed in 2020,What led to the change in phone sales during 2020?
Why sales of phone changed in 2020,In what ways did phone sales vary in 2020?
Why sales of phone changed in 2020,What were the reasons for phone sales fluctuations in 2020?
Why sales of phone changed in 2020,How were phone sales affected in 2020?
Why sales of phone changed in 2020,What influenced the change in 2020's phone sales?
Why sales of phone changed in 2020,What factors contributed to phone sales differences in 2020?
Why sales of phone changed in 2020,Why did 2020 see a change in phone sales?
Why sales of phone and paper changed in 2020,What caused phone and paper sales to shift in 2020?
Why sales of phone and paper changed in 2020,"In 2020, what factors impacted phone and paper sales?"
Why sales of phone and paper changed in 2020,How did phone and paper sales alter in 2020?
Why sales of phone and paper changed in 2020,What led to the change in phone and paper sales during 2020?
Why sales of phone and paper changed in 2020,In what way did phone and paper sales vary in 2020?
Why sales of phone and paper changed in 2020,What influenced the fluctuation of phone and paper sales in 2020?
Why sales of phone and paper changed in 2020,How were phone and paper sales affected in 2020?
Why sales of phone and paper changed in 2020,What factors contributed to the change in phone and paper sales in 2020?
Why sales of phone and paper changed in 2020,Why did the sales of phone and paper experience a change in 2020?
Why sales of phone and paper changed in 2020,What were the reasons behind the change in phone and paper sales in 2020?
What are the key drivers of sales,What factors drive sales the most?
What are the key drivers of sales,Which elements contribute to sales growth?
What are the key drivers of sales,What are the primary drivers of sales?
What are the key drivers of sales,What influences sales performance the most?
What are the key drivers of sales,Which aspects have the biggest impact on sales?
What are the key drivers of sales,What are the main factors affecting sales?
What are the key drivers of sales,What are the crucial drivers for sales success?
What are the key drivers of sales,What components play a key role in sales?
What are the key drivers of sales,What are the essential factors in driving sales?
What are the key drivers of sales,Which factors are most significant in boosting sales?
What are the drivers of sales,What factors drive sales?
What are the drivers of sales,Which elements contribute to sales growth?
What are the drivers of sales,What are the key drivers for sales success?
What are the drivers of sales,What influences sales performance?
What are the drivers of sales,Which aspects impact sales results?
What are the drivers of sales,What are the main determinants of sales?
What are the drivers of sales,What are the primary factors affecting sales?
What are the drivers of sales,Which components lead to increased sales?
What are the drivers of sales,What are the crucial elements for sales growth?
What are the drivers of sales,What factors are responsible for driving sales?
what are the key drivers of sales for phone,What factors drive phone sales the most?
what are the key drivers of sales for phone,Which elements contribute to increased phone sales?
what are the key drivers of sales for phone,What are the main influences on phone sales?
what are the key drivers of sales for phone,What aspects primarily impact phone sales?
what are the key drivers of sales for phone,Which factors are crucial for driving phone sales?
what are the key drivers of sales for phone,What are the major determinants of phone sales?
what are the key drivers of sales for phone,What are the primary contributors to phone sales?
what are the key drivers of sales for phone,Which factors play a key role in phone sales?
what are the key drivers of sales for phone,What are the main drivers behind phone sales?
what are the key drivers of sales for phone,What factors significantly affect phone sales?
what are the key drivers of sales for phone and paper,What drives sales for phone and paper products?
what are the key drivers of sales for phone and paper,Which factors contribute to phone and paper sales?
what are the key drivers of sales for phone and paper,What are the main elements influencing phone and paper sales?
what are the key drivers of sales for phone and paper,What aspects impact sales of phone and paper items?
what are the key drivers of sales for phone and paper,What are the primary determinants of phone and paper sales?
what are the key drivers of sales for phone and paper,Which components play a role in phone and paper sales?
what are the key drivers of sales for phone and paper,What are the crucial factors affecting phone and paper sales?
what are the key drivers of sales for phone and paper,What are the major influences on phone and paper sales?
what are the key drivers of sales for phone and paper,What are the key elements that drive sales for phone and paper?
what are the key drivers of sales for phone and paper,Which factors are essential for driving phone and paper sales?
what are the drivers of sales for phone,What factors drive phone sales?
what are the drivers of sales for phone,Which elements contribute to phone sales?
what are the drivers of sales for phone,What causes an increase in phone sales?
what are the drivers of sales for phone,What are the key drivers for phone sales?
what are the drivers of sales for phone,What aspects influence phone sales?
what are the drivers of sales for phone,What determines the success of phone sales?
what are the drivers of sales for phone,What are the main contributors to phone sales?
what are the drivers of sales for phone,What factors impact phone sales?
what are the drivers of sales for phone,What are the primary reasons for phone sales growth?
what are the drivers of sales for phone,What influences the sales of phones?
what are the drivers of sales for phone and paper,What factors drive sales for phone and paper products?
what are the drivers of sales for phone and paper,Which elements contribute to phone and paper sales?
what are the drivers of sales for phone and paper,What influences sales of phone and paper items?
what are the drivers of sales for phone and paper,What are the key drivers for phone and paper sales?
what are the drivers of sales for phone and paper,What aspects impact sales for phone and paper products?
what are the drivers of sales for phone and paper,What determines the sales of phone and paper items?
what are the drivers of sales for phone and paper,What are the main contributors to phone and paper sales?
what are the drivers of sales for phone and paper,What factors affect the sales of phone and paper products?
what are the drivers of sales for phone and paper,What are the primary drivers for phone and paper sales?
what are the drivers of sales for phone and paper,Which factors play a role in driving sales for phone and paper?
What is the monthly growth rate of sales for 2020,What's the 2020 sales growth rate per month?
What is the monthly growth rate of sales for 2020,Monthly sales growth rate in 2020?
What is the monthly growth rate of sales for 2020,Sales growth rate for each month in 2020?
What is the monthly growth rate of sales for 2020,2020's month-by-month sales growth rate?
What is the monthly growth rate of sales for 2020,Monthly increase in sales for 2020?
What is the monthly growth rate of sales for 2020,Sales growth rate on a monthly basis in 2020?
What is the monthly growth rate of sales for 2020,Rate of sales growth for each month of 2020?
What is the monthly growth rate of sales for 2020,2020: What's the growth rate of sales monthly?
What is the monthly growth rate of sales for 2020,Monthly sales expansion rate in 2020?
What is the monthly growth rate of sales for 2020,"Sales growth rate for 2020, month-wise?"
What is the monthly growth rate of sales,What's the sales growth rate per month?
What is the monthly growth rate of sales,Monthly sales growth rate?
What is the monthly growth rate of sales,Sales growth rate on a monthly basis?
What is the monthly growth rate of sales,Rate of sales growth each month?
What is the monthly growth rate of sales,Growth rate of sales every month?
What is the monthly growth rate of sales,Sales increase rate monthly?
What is the monthly growth rate of sales,Monthly rate of sales growth?
What is the monthly growth rate of sales,How much do sales grow monthly?
What is the monthly growth rate of sales,What's the rate of monthly sales growth?
What is the monthly growth rate of sales,Sales growth rate for each month?
What is the growth rate of sales of phone for 2020,What's the 2020 phone sales growth rate?
What is the growth rate of sales of phone for 2020,Phone sales growth rate in 2020?
What is the growth rate of sales of phone for 2020,Growth rate of 2020 phone sales?
What is the growth rate of sales of phone for 2020,2020's growth rate for phone sales?
What is the growth rate of sales of phone for 2020,Sales growth rate of phones in 2020?
What is the growth rate of sales of phone for 2020,"In 2020, what's the phone sales growth rate?"
What is the growth rate of sales of phone for 2020,What is the phone sales growth rate for '20?
What is the growth rate of sales of phone for 2020,Growth rate of phone sales during 2020?
What is the growth rate of sales of phone for 2020,Phone sales' growth rate in the year 2020?
What is the growth rate of sales of phone for 2020,What was the growth rate of phone sales in 2020?
What is the growth rate of sales for 2020,What's the 2020 sales growth rate?
What is the growth rate of sales for 2020,Sales growth rate for 2020?
What is the growth rate of sales for 2020,2020's rate of sales growth?
What is the growth rate of sales for 2020,Growth rate of 2020 sales?
What is the growth rate of sales for 2020,Rate of sales growth in 2020?
What is the growth rate of sales for 2020,Sales increase percentage in 2020?
What is the growth rate of sales for 2020,2020 sales expansion rate?
What is the growth rate of sales for 2020,What is the sales growth percentage for 2020?
What is the growth rate of sales for 2020,Sales growth for the year 2020?
What is the growth rate of sales for 2020,2020 - what's the sales growth?
What is the growth contribution to overall sales for sub category in 2020,What's the 2020 growth contribution for subcategory in overall sales?
What is the growth contribution to overall sales for sub category in 2020,"In 2020, what was the subcategory's growth contribution to total sales?"
What is the growth contribution to overall sales for sub category in 2020,How much did the subcategory contribute to sales growth in 2020?
What is the growth contribution to overall sales for sub category in 2020,What percentage of overall sales growth in 2020 came from the subcategory?
What is the growth contribution to overall sales for sub category in 2020,"In 2020, what portion of sales growth was attributed to the subcategory?"
What is the growth contribution to overall sales for sub category in 2020,What was the subcategory's share in overall sales growth for 2020?
What is the growth contribution to overall sales for sub category in 2020,How much growth did the subcategory contribute to 2020's total sales?
What is the growth contribution to overall sales for sub category in 2020,What was the 2020 growth percentage for the subcategory in overall sales?
What is the growth contribution to overall sales for sub category in 2020,"In 2020, how much did the subcategory's growth contribute to total sales?"
What is the growth contribution to overall sales for sub category in 2020,What was the contribution of the subcategory to sales growth in the year 2020?
What is the growth contribution to overall sales for sub category across months,What is the growth contribution of subcategories to total sales across months?
What is the growth contribution to overall sales for sub category across months,How much do subcategories contribute to overall sales growth monthly?
What is the growth contribution to overall sales for sub category across months,What is the monthly growth contribution of subcategories to total sales?
What is the growth contribution to overall sales for sub category across months,How do subcategories contribute to sales growth on a monthly basis?
What is the growth contribution to overall sales for sub category across months,What is the subcategory growth contribution to overall sales per month?
What is the growth contribution to overall sales for sub category across months,"Monthly, what is the growth contribution of subcategories to total sales?"
What is the growth contribution to overall sales for sub category across months,How much growth do subcategories contribute to overall sales each month?
What is the growth contribution to overall sales for sub category across months,What is the month-wise growth contribution of subcategories to overall sales?
What is the growth contribution to overall sales for sub category across months,How do subcategories impact overall sales growth across months?
What is the growth contribution to overall sales for sub category across months,What is the monthly contribution of subcategory growth to total sales?
What is the growth contribution to overall sales for sub category except chairs in 2020,What's the 2020 growth contribution to total sales for subcategories excluding chairs?
What is the growth contribution to overall sales for sub category except chairs in 2020,"In 2020, what is the growth contribution for all subcategories, except chairs, to overall sales?"
What is the growth contribution to overall sales for sub category except chairs in 2020,"Excluding chairs, what is the growth contribution of subcategories to total sales in 2020?"
What is the growth contribution to overall sales for sub category except chairs in 2020,What is the growth contribution of non-chair subcategories to overall sales in 2020?
What is the growth contribution to overall sales for sub category except chairs in 2020,"In 2020, what's the growth contribution for subcategories, other than chairs, to total sales?"
What is the growth contribution to overall sales for sub category except chairs in 2020,"What is the 2020 growth contribution to overall sales for subcategories, not including chairs?"
What is the growth contribution to overall sales for sub category except chairs in 2020,"For 2020, what is the growth contribution of subcategories, excluding chairs, to total sales?"
What is the growth contribution to overall sales for sub category except chairs in 2020,What is the growth contribution of subcategories (excluding chairs) to overall sales in 2020?
What is the growth contribution to overall sales for sub category except chairs in 2020,"In 2020, what's the growth contribution to total sales for subcategories without chairs?"
What is the growth contribution to overall sales for sub category except chairs in 2020,"What is the growth contribution to overall sales for subcategories, except chairs, in 2020?"
What is the growth contribution to overall sales for sub category except chairs across months,"What is the growth contribution of subcategories, excluding chairs, to total sales across months?"
What is the growth contribution to overall sales for sub category except chairs across months,"How much growth do subcategories, other than chairs, contribute to overall sales monthly?"
What is the growth contribution to overall sales for sub category except chairs across months,"Excluding chairs, what is the monthly growth contribution of subcategories to total sales?"
What is the growth contribution to overall sales for sub category except chairs across months,"What is the monthly growth rate of subcategories, except chairs, in overall sales?"
What is the growth contribution to overall sales for sub category except chairs across months,"How much do subcategories, not including chairs, contribute to sales growth each month?"
What is the growth contribution to overall sales for sub category except chairs across months,What is the percentage growth contribution of non-chair subcategories to overall sales across months?
What is the growth contribution to overall sales for sub category except chairs across months,"Monthly, what is the growth contribution of subcategories, excluding chairs, to total sales?"
What is the growth contribution to overall sales for sub category except chairs across months,"What is the growth share of subcategories, other than chairs, in overall sales across months?"
What is the growth contribution to overall sales for sub category except chairs across months,"Excluding chairs, what is the growth contribution of subcategories to sales on a monthly basis?"
What is the growth contribution to overall sales for sub category except chairs across months,"How much growth do subcategories, except chairs, add to overall sales month by month?"
Which are the top sub category contributing to sales,What are the highest-selling subcategories?
Which are the top sub category contributing to sales,Top subcategories in sales: which are they?
Which are the top sub category contributing to sales,Identify the leading subcategories for sales.
Which are the top sub category contributing to sales,Which subcategories have the highest sales contribution?
Which are the top sub category contributing to sales,Top-selling subcategories: can you list them?
Which are the top sub category contributing to sales,What subcategories dominate sales figures?
Which are the top sub category contributing to sales,"In terms of sales, which subcategories excel?"
Which are the top sub category contributing to sales,Which subcategories are responsible for the most sales?
Which are the top sub category contributing to sales,"Sales-wise, what are the top-performing subcategories?"
Which are the top sub category contributing to sales,What are the primary subcategories driving sales?
What is the contribution of phone for sales,What role do phones play in sales?
What is the contribution of phone for sales,How do phones impact sales figures?
What is the contribution of phone for sales,What percentage of sales can be attributed to phones?
What is the contribution of phone for sales,How significant are phones in driving sales?
What is the contribution of phone for sales,In what ways do phones contribute to sales?
What is the contribution of phone for sales,What is the sales influence of phones?
What is the contribution of phone for sales,How crucial are phones for sales generation?
What is the contribution of phone for sales,What part do phones have in sales success?
What is the contribution of phone for sales,How do phones affect overall sales?
What is the contribution of phone for sales,To what extent do phones boost sales?
What is the contribution of sales for sub category,What's the sales contribution for the sub-category?
What is the contribution of sales for sub category,Sub-category sales contribution: what is it?
What is the contribution of sales for sub category,Sales contribution in sub-category: what's the amount?
What is the contribution of sales for sub category,What is the sub-category's share in sales?
What is the contribution of sales for sub category,How much does the sub-category contribute to sales?
What is the contribution of sales for sub category,What percentage of sales comes from the sub-category?
What is the contribution of sales for sub category,What portion of sales is attributed to the sub-category?
What is the contribution of sales for sub category,What is the sales percentage for the sub-category?
What is the contribution of sales for sub category,How significant is the sub-category's sales contribution?
What is the contribution of sales for sub category,What's the sales proportion for the sub-category?
What is the contribution of phone to overall sales in 2020,What percentage of total sales in 2020 was from phones?
What is the contribution of phone to overall sales in 2020,"In 2020, how much did phones contribute to overall sales?"
What is the contribution of phone to overall sales in 2020,What was the phone's share in total sales for 2020?
What is the contribution of phone to overall sales in 2020,How significant was the phone's contribution to 2020 sales?
What is the contribution of phone to overall sales in 2020,"In 2020, what portion of sales came from phones?"
What is the contribution of phone to overall sales in 2020,What was the role of phones in total sales during 2020?
What is the contribution of phone to overall sales in 2020,How much did phones account for in overall sales in 2020?
What is the contribution of phone to overall sales in 2020,What part did phones play in total sales for the year 2020?
What is the contribution of phone to overall sales in 2020,"In 2020, what was the phone's impact on overall sales?"
What is the contribution of phone to overall sales in 2020,How much of the total sales in 2020 was attributed to phones?
What is the contribution of sales for sub category in 2020,What was the sales contribution for subcategories in 2020?
What is the contribution of sales for sub category in 2020,"In 2020, what was the subcategory sales contribution?"
What is the contribution of sales for sub category in 2020,How much did subcategories contribute to sales in 2020?
What is the contribution of sales for sub category in 2020,What's the 2020 sales contribution from subcategories?
What is the contribution of sales for sub category in 2020,"In 2020, how much did subcategories contribute to sales?"
What is the contribution of sales for sub category in 2020,What percentage of sales came from subcategories in 2020?
What is the contribution of sales for sub category in 2020,What portion of 2020 sales was from subcategories?
What is the contribution of sales for sub category in 2020,How significant was the subcategory sales contribution in 2020?
What is the contribution of sales for sub category in 2020,What was the subcategory sales share in 2020?
What is the contribution of sales for sub category in 2020,"In 2020, what portion of sales was attributed to subcategories?"
What is the contribution of phone to overall sales across months,What percentage of total sales do phones represent monthly?
What is the contribution of phone to overall sales across months,How much do phones contribute to monthly overall sales?
What is the contribution of phone to overall sales across months,What's the monthly contribution of phones to total sales?
What is the contribution of phone to overall sales across months,"Monthly, what portion of overall sales comes from phones?"
What is the contribution of phone to overall sales across months,What is the phone's share in total sales per month?
What is the contribution of phone to overall sales across months,How significant is the phone's role in monthly overall sales?
What is the contribution of phone to overall sales across months,What part do phones play in total sales across months?
What is the contribution of phone to overall sales across months,"Across months, what is the phone's contribution to overall sales?"
What is the contribution of phone to overall sales across months,"Monthly, how much do phones account for in total sales?"
What is the contribution of phone to overall sales across months,What is the proportion of phone sales in overall monthly sales?
What is the contribution of sales for sub category across months,What are the monthly sales contributions for each subcategory?
What is the contribution of sales for sub category across months,How do subcategory sales contribute across months?
What is the contribution of sales for sub category across months,Monthly sales contribution breakdown by subcategory?
What is the contribution of sales for sub category across months,Subcategory-wise sales contribution for each month?
What is the contribution of sales for sub category across months,What are the sales contributions of subcategories month-wise?
What is the contribution of sales for sub category across months,Monthly distribution of sales contributions in subcategories?
What is the contribution of sales for sub category across months,How do sales contributions vary by subcategory and month?
What is the contribution of sales for sub category across months,Subcategory sales contributions across months?
What is the contribution of sales for sub category across months,Month-wise sales contribution for subcategories?
What is the contribution of sales for sub category across months,Sales contribution of subcategories per month?
How many sub category contributing to growth of sales across months,What is the number of subcategories contributing to sales growth monthly?
How many sub category contributing to growth of sales across months,How many subcategories are driving sales growth each month?
How many sub category contributing to growth of sales across months,Monthly sales growth: number of contributing subcategories?
How many sub category contributing to growth of sales across months,Count of subcategories boosting sales growth across months?
How many sub category contributing to growth of sales across months,Number of subcategories increasing sales growth month by month?
How many sub category contributing to growth of sales across months,How many subcategories are responsible for monthly sales growth?
How many sub category contributing to growth of sales across months,Monthly sales growth: how many subcategories are involved?
How many sub category contributing to growth of sales across months,What's the count of subcategories enhancing sales growth monthly?
How many sub category contributing to growth of sales across months,How many subcategories are aiding in the growth of sales each month?
How many sub category contributing to growth of sales across months,"Across months, what is the number of subcategories driving sales growth?"
How many sub category contributing to growth of sales in 2020,What is the number of subcategories contributing to sales growth in 2020?
How many sub category contributing to growth of sales in 2020,"In 2020, how many subcategories led to an increase in sales?"
How many sub category contributing to growth of sales in 2020,What are the total subcategories responsible for sales growth in 2020?
How many sub category contributing to growth of sales in 2020,How many subcategories played a role in boosting sales in 2020?
How many sub category contributing to growth of sales in 2020,"In 2020, what is the count of subcategories that contributed to sales growth?"
How many sub category contributing to growth of sales in 2020,What's the number of subcategories that helped increase sales in 2020?
How many sub category contributing to growth of sales in 2020,How many subcategories were involved in sales growth during 2020?
How many sub category contributing to growth of sales in 2020,"In 2020, what's the total of subcategories that led to sales growth?"
How many sub category contributing to growth of sales in 2020,How many subcategories had a part in sales growth for 2020?
How many sub category contributing to growth of sales in 2020,What is the count of subcategories that boosted sales in 2020?
When was share of sales of sub category lowest,When did the subcategory's sales share hit its lowest point?
When was share of sales of sub category lowest,At what time was the subcategory's sales share at its minimum?
When was share of sales of sub category lowest,When was the lowest sales share for the subcategory recorded?
When was share of sales of sub category lowest,What date marked the lowest sales share for the subcategory?
When was share of sales of sub category lowest,When did the subcategory experience its lowest sales share?
When was share of sales of sub category lowest,At which point in time was the subcategory's sales share the lowest?
When was share of sales of sub category lowest,When was the subcategory's smallest sales share observed?
When was share of sales of sub category lowest,What was the date of the subcategory's lowest sales share?
When was share of sales of sub category lowest,When did the subcategory's sales share reach its lowest level?
When was share of sales of sub category lowest,When was the minimum sales share for the subcategory recorded?
When was share of sub category to overall sales lowest in 2020,"In 2020, when was the subcategory's lowest sales share?"
When was share of sub category to overall sales lowest in 2020,When did the subcategory have its smallest sales proportion in 2020?
When was share of sub category to overall sales lowest in 2020,"In 2020, when was the subcategory's sales contribution at its lowest?"
When was share of sub category to overall sales lowest in 2020,When was the lowest sales percentage for the subcategory in 2020?
When was share of sub category to overall sales lowest in 2020,"In 2020, when did the subcategory's share in total sales hit its lowest point?"
When was share of sub category to overall sales lowest in 2020,When was the subcategory's smallest overall sales ratio in 2020?
When was share of sub category to overall sales lowest in 2020,"In 2020, when was the subcategory's least contribution to total sales?"
When was share of sub category to overall sales lowest in 2020,When did the subcategory's sales share reach its lowest in 2020?
When was share of sub category to overall sales lowest in 2020,"In 2020, when was the subcategory's minimum sales percentage?"
When was share of sub category to overall sales lowest in 2020,When was the subcategory's lowest sales proportion in 2020?
When was share of sub category to overall sales lowest across months,In which month was the subcategory's sales share the lowest?
When was share of sub category to overall sales lowest across months,When did the subcategory have its smallest sales share?
When was share of sub category to overall sales lowest across months,In which month was the subcategory's contribution to total sales the lowest?
When was share of sub category to overall sales lowest across months,When was the subcategory's lowest sales share across months?
When was share of sub category to overall sales lowest across months,In which month did the subcategory contribute the least to overall sales?
When was share of sub category to overall sales lowest across months,When did the subcategory's share of total sales reach its lowest point?
When was share of sub category to overall sales lowest across months,In which month was the subcategory's percentage of overall sales the smallest?
When was share of sub category to overall sales lowest across months,When was the subcategory's smallest contribution to total sales across months?
When was share of sub category to overall sales lowest across months,In which month did the subcategory have the lowest sales share?
When was share of sub category to overall sales lowest across months,When did the subcategory's share of overall sales hit its lowest level?
When was share of sales of phone lowest,When did phone sales have the lowest share?
When was share of sales of phone lowest,At what time was the phone's sales share at its lowest?
When was share of sales of phone lowest,When was the minimum share of phone sales recorded?
When was share of sales of phone lowest,When did the share of phone sales reach its lowest point?
When was share of sales of phone lowest,At which point in time was the share of phone sales the smallest?
When was share of sales of phone lowest,When was the least share of phone sales observed?
When was share of sales of phone lowest,When did the lowest percentage of phone sales occur?
When was share of sales of phone lowest,When was the smallest proportion of phone sales recorded?
When was share of sales of phone lowest,At what date was the phone sales share at its minimum?
When was share of sales of phone lowest,When did the share of phone sales hit its lowest level?
When was share of phone to overall sales lowest in 2020,"In 2020, when was the lowest share of phone sales?"
When was share of phone to overall sales lowest in 2020,When did phone sales have the smallest share in 2020?
When was share of phone to overall sales lowest in 2020,"In 2020, when was the phone's sales share at its lowest?"
When was share of phone to overall sales lowest in 2020,When was the minimum share of phone sales in 2020?
When was share of phone to overall sales lowest in 2020,At what point in 2020 was the phone sales share the lowest?
When was share of phone to overall sales lowest in 2020,When in 2020 did phone sales have the least overall share?
When was share of phone to overall sales lowest in 2020,What was the lowest point for phone sales share in 2020?
When was share of phone to overall sales lowest in 2020,When did the share of phone sales hit its lowest in 2020?
When was share of phone to overall sales lowest in 2020,"In 2020, when was the smallest percentage of phone sales?"
When was share of phone to overall sales lowest in 2020,When was the phone sales share at its minimum in 2020?
When was share of phone to overall sales lowest across months,In which month was the phone's share of total sales at its lowest?
When was share of phone to overall sales lowest across months,When did phone sales have the lowest percentage of overall sales?
When was share of phone to overall sales lowest across months,In which month was the lowest ratio of phone to total sales?
When was share of phone to overall sales lowest across months,When was the smallest proportion of phone sales to overall sales?
When was share of phone to overall sales lowest across months,In which month was the phone's contribution to total sales at its minimum?
When was share of phone to overall sales lowest across months,When was the phone's percentage of total sales at its lowest point?
When was share of phone to overall sales lowest across months,In which month did phone sales make up the smallest portion of overall sales?
When was share of phone to overall sales lowest across months,When did the phone's share of overall sales reach its lowest level?
When was share of phone to overall sales lowest across months,In which month was the lowest phone sales share in overall sales?
When was share of phone to overall sales lowest across months,When was the minimum phone sales percentage in total sales?
When was share of sales of phone and paper lowest,When did phone and paper sales have their lowest share?
When was share of sales of phone and paper lowest,At what time was the share of phone and paper sales at its minimum?
When was share of sales of phone and paper lowest,When was the minimum share of phone and paper sales recorded?
When was share of sales of phone and paper lowest,What was the date of the lowest share of sales for phone and paper?
When was share of sales of phone and paper lowest,When did the share of sales for phone and paper reach its lowest point?
When was share of sales of phone and paper lowest,At which point in time was the share of phone and paper sales the lowest?
When was share of sales of phone and paper lowest,When was the least share of sales for phone and paper observed?
When was share of sales of phone and paper lowest,What date marked the lowest share of phone and paper sales?
When was share of sales of phone and paper lowest,When did the lowest share of sales occur for phone and paper?
When was share of sales of phone and paper lowest,When was the bottom point for phone and paper sales share?
When was share of phone and paper to overall sales lowest in 2020,"In 2020, when was the lowest share of phone and paper in overall sales?"
When was share of phone and paper to overall sales lowest in 2020,When did phone and paper sales have the lowest share in 2020?
When was share of phone and paper to overall sales lowest in 2020,"In 2020, when was the smallest percentage of phone and paper sales?"
When was share of phone and paper to overall sales lowest in 2020,When was the minimum share of phone and paper sales in 2020?
When was share of phone and paper to overall sales lowest in 2020,At what point in 2020 was the share of phone and paper sales at its lowest?
When was share of phone and paper to overall sales lowest in 2020,When did the share of phone and paper sales reach its lowest point in 2020?
When was share of phone and paper to overall sales lowest in 2020,"In 2020, when was the least contribution of phone and paper to total sales?"
When was share of phone and paper to overall sales lowest in 2020,When was the lowest ratio of phone and paper sales to overall sales in 2020?
When was share of phone and paper to overall sales lowest in 2020,What was the date of the lowest share of phone and paper sales in 2020?
When was share of phone and paper to overall sales lowest in 2020,When in 2020 was the share of phone and paper sales at its minimum?
When was share of phone and paper to overall sales lowest across months,In which month was the lowest share of phone and paper sales recorded?
When was share of phone and paper to overall sales lowest across months,When did phone and paper sales have the lowest share across all months?
When was share of phone and paper to overall sales lowest across months,In which month was the smallest percentage of phone and paper sales observed?
When was share of phone and paper to overall sales lowest across months,When was the lowest monthly share of phone and paper sales?
When was share of phone and paper to overall sales lowest across months,Which month had the lowest proportion of phone and paper sales?
When was share of phone and paper to overall sales lowest across months,When did the share of phone and paper sales reach its lowest point across months?
When was share of phone and paper to overall sales lowest across months,In which month did phone and paper sales contribute the least to overall sales?
When was share of phone and paper to overall sales lowest across months,When was the smallest monthly share of phone and paper sales recorded?
When was share of phone and paper to overall sales lowest across months,Which month recorded the lowest share of phone and paper sales?
When was share of phone and paper to overall sales lowest across months,When did the lowest share of phone and paper sales occur across all months?
When was the ratio of phone and paper for sales was lowest in 2020,"In 2020, when was the lowest ratio of phone to paper sales?"
When was the ratio of phone and paper for sales was lowest in 2020,When did the phone-paper sales ratio reach its lowest point in 2020?
